type,log
amazon-ses,"{""eventType"":""Delivery"",""mail"":{""timestamp"":""2026-08-04T15:50:28.402Z"",""source"":""billing@acme.io"",""sourceArn"":""arn:aws:ses:us-east-1:481923746512:identity/acme.io"",""sendingAccountId"":""481923746512"",""messageId"":""010b0190xk7pl9mz-9c1e7f3a-2b84-5d06-71ab-34cd82ef5091-000000"",""destination"":[""ap@northwind-logistics.com""],""headersTruncated"":false,""headers"":[{""name"":""From"",""value"":""Acme Billing <billing@acme.io>""},{""name"":""To"",""value"":""ap@northwind-logistics.com""},{""name"":""Subject"",""value"":""Invoice INV20260804-0881""}],""commonHeaders"":{""from"":[""Acme Billing <billing@acme.io>""],""to"":[""ap@northwind-logistics.com""],""messageId"":""010b0190xk7pl9mz-9c1e7f3a-2b84-5d06-71ab-34cd82ef5091-000000"",""subject"":""Invoice INV20260804-0881""},""tags"":{""ses:operation"":[""SendEmail""],""ses:configuration-set"":[""prod-transactional""],""ses:source-ip"":[""52.94.133.129""],""ses:outgoing-ip"":[""23.251.234.11""]}},""delivery"":{""timestamp"":""2026-08-04T15:50:31.104Z"",""processingTimeMillis"":2702,""recipients"":[""ap@northwind-logistics.com""],""smtpResponse"":""250 2.0.0 OK 1786037031 xk7pl9mzv2qr8z.14 - gsmtp"",""reportingMTA"":""a8-11.smtp-out.amazonses.com""}}"
amazon-ses,"{""eventType"":""Bounce"",""bounce"":{""bounceType"":""Permanent"",""bounceSubType"":""Suppressed"",""bouncedRecipients"":[{""emailAddress"":""priya.raghavan@example.net"",""action"":""failed"",""status"":""5.1.1"",""diagnosticCode"":""Amazon SES has suppressed sending to this address because it has a recent history of bouncing as an invalid address.""}],""timestamp"":""2026-07-26T09:14:02.771Z"",""feedbackId"":""010001984418822109-9f81c3ad-2b74-e560-a1c7-d2b4e9f0a51c-000000"",""reportingMTA"":""dns; a4-19.smtp-out.amazonses.com""},""mail"":{""timestamp"":""2026-07-26T09:14:01.884Z"",""source"":""orders@example.net"",""sourceArn"":""arn:aws:ses:us-east-1:481923755012:identity/example.net"",""sendingAccountId"":""481923755012"",""messageId"":""010001984418822109-c41b7e28-5d90-4a13-8f66-9e2c0473ab55-000000"",""destination"":[""priya.raghavan@example.net""],""headersTruncated"":false,""headers"":[{""name"":""From"",""value"":""Example Net Orders <orders@example.net>""},{""name"":""Subject"",""value"":""Your order 8814 has shipped""}],""commonHeaders"":{""from"":[""Example Net Orders <orders@example.net>""],""to"":[""priya.raghavan@example.net""],""subject"":""Your order 8814 has shipped""},""tags"":{""ses:configuration-set"":[""prod-transactional""],""ses:source-ip"":[""54.240.44.19""]}}}"
android-logcat,"{""timestamp"":""2026-08-04T16:12:02.184Z"",""pid"":18427,""tid"":18452,""priority"":""I"",""priorityNum"":4,""tag"":""AcmeCheckout"",""message"":""Payment sheet completed: paymentIntentId=pi_3PxK7pL9mzV2Qr8Z1"",""buffer"":""main"",""uid"":""u0_a412"",""processName"":""io.acme.mobile"",""packageName"":""io.acme.mobile"",""versionName"":""6.4.1"",""versionCode"":6410,""device"":""Pixel 9 Pro"",""androidVersion"":""15"",""sdkInt"":35,""sessionId"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091""}"
android-logcat,"{""timestamp"":""2026-07-26T09:14:02.771-06:00"",""pid"":24118,""tid"":24144,""priority"":""E"",""level"":""ERROR"",""tag"":""AndroidRuntime"",""package"":""net.example.shop"",""message"":""FATAL EXCEPTION: main"",""process"":""net.example.shop"",""thread"":""main"",""stackTrace"":""java.lang.IllegalStateException: Fragment CartFragment{9f81c3a} not attached to a context.\n\tat androidx.fragment.app.Fragment.requireContext(Fragment.java:975)\n\tat net.example.shop.cart.CartFragment.onCartLoaded(CartFragment.kt:118)"",""exceptionClass"":""java.lang.IllegalStateException"",""buffer"":""crash"",""app_version"":""7.18.0"",""version_code"":71800,""device"":{""model"":""Pixel 9 Pro"",""manufacturer"":""Google"",""sdk_int"":35,""os_version"":""15"",""abi"":""arm64-v8a""},""uid"":10441,""isFatal"":true}"
apache-httpd,"{""timestamp"":""2026-08-04T14:47:02.118402Z"",""client_ip"":""198.51.100.72"",""remote_logname"":""-"",""remote_user"":""-"",""request_line"":""GET /docs/api/v2/getting-started HTTP/1.1"",""status"":200,""response_size"":28412,""bytes_received"":882,""referer"":""https://www.google.com/"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"",""duration_us"":8412,""vhost"":""docs.acme.io:443"",""server_name"":""docs.acme.io"",""pid"":48127,""tid"":""140234718293"",""protocol"":""HTTP/1.1"",""method"":""GET"",""request_uri"":""/docs/api/v2/getting-started"",""query_string"":"""",""handler"":""proxy-server""}"
apache-httpd,"{""time"":""2026-07-15T22:41:09+0000"",""client_ip"":""198.51.100.204"",""remote_logname"":""-"",""remote_user"":""-"",""request_method"":""GET"",""request_uri"":""/wp-admin/setup-config.php"",""protocol"":""HTTP/1.1"",""status"":404,""bytes_sent"":209,""referer"":""-"",""user_agent"":""Mozilla/5.0 (compatible; Nmap Scripting Engine)"",""request_time_us"":1188,""server_name"":""www.example.net"",""vhost"":""www.example.net:443"",""pid"":24118,""error_log"":{""level"":""error"",""module"":""core:error"",""message"":""AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error"",""file"":""/var/www/html/.htaccess""}}"
apigee,"{""organization"":""acme-io"",""environment"":""prod"",""apiproxy"":""invoice-v2"",""apiproxy_revision"":""14"",""proxy_basepath"":""/v2/invoices"",""proxy_pathsuffix"":""/8812"",""request_verb"":""GET"",""request_path"":""/v2/invoices/8812"",""request_uri"":""/v2/invoices/8812"",""client_ip"":""203.0.113.47"",""client_received_start_timestamp"":1786033802118,""client_sent_end_timestamp"":1786033802184,""target_received_start_timestamp"":1786033802124,""target_sent_end_timestamp"":1786033802178,""total_response_time"":66,""target_response_time"":54,""response_status_code"":200,""target_host"":""invoice-api.internal"",""target_basepath"":""/v2/invoices/8812"",""message_id"":""rrt-9c1e7f3a2b845d067-a-ge-14882-118402-1"",""developer_app"":""acme-web-app"",""developer_email"":""priya.raghavan@acme.io"",""apiproduct_name"":""Invoices-Standard"",""gateway_flow_id"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""is_error"":false}"
apigee,"{""organization"":""example-net"",""environment"":""prod"",""apiProxy"":""orders-v1"",""apiProxyRevision"":""27"",""messageId"":""rrt-9f81c3ad2b74e560-a-ne-4471-88441-1"",""clientIp"":""197.210.53.184"",""requestVerb"":""POST"",""requestPath"":""/orders"",""responseStatusCode"":500,""timestamp"":1783312442118,""totalResponseTime"":4419,""targetResponseTime"":0,""target"":""https://orders-backend.internal.example.net"",""errorFlow"":{""fault"":{""faultstring"":""Execution of ServiceCallout ValidateToken failed. Reason: ResponseCode 503 is treated as error"",""detail"":{""errorcode"":""steps.servicecallout.ExecutionFailed""}},""policyName"":""ValidateToken"",""flowName"":""PreFlow""},""developerApp"":""mobile-checkout"",""developerEmail"":""partner-dev@example.net"",""apiProduct"":""orders-standard"",""proxyResponseCode"":500,""isError"":true}"
argocd,"{""level"":""info"",""ts"":""2026-08-04T14:37:02.184Z"",""logger"":""argocd-application-controller"",""msg"":""Sync operation to 4.12.0 succeeded"",""application"":""checkout-api"",""app-namespace"":""argocd"",""project"":""payments"",""revision"":""9c1e7f3a2b845d0671ab34cd82ef50918f2a1c4d"",""dest-server"":""https://kubernetes.default.svc"",""dest-namespace"":""checkout"",""phase"":""Succeeded"",""duration"":18.412,""resources-updated"":6,""sync-id"":""48-9c1e7f3a""}"
argocd,"{""level"":""warning"",""ts"":""2026-07-24T07:18:55Z"",""logger"":""argocd-application-controller"",""msg"":""Failed to sync application"",""application"":""payments-prod"",""namespace"":""argocd"",""project"":""platform"",""revision"":""a7f19c4b2d804e3591ac6b70e2d3f5810c74be29"",""sync_status"":""OutOfSync"",""health_status"":""Degraded"",""phase"":""Failed"",""message"":""one or more objects failed to apply, reason: Deployment.apps \""payments\"" is invalid: spec.template.spec.containers[0].resources.limits[memory]: Invalid value: \""512Mi\"": must be greater than or equal to request"",""dest_server"":""https://kubernetes.default.svc"",""dest_namespace"":""prod"",""operation_duration_seconds"":3.812,""retry_count"":2}"
arista-eos,"{""timestamp"":""2026-08-04T15:28:31.402841Z"",""hostname"":""leaf-dc1-04"",""severity"":""info"",""facility"":""LINEPROTO"",""event"":""UPDOWN"",""message"":""Interface Ethernet14, changed state to up"",""interface"":""Ethernet14"",""state"":""up"",""eos_version"":""4.32.2F"",""module"":""Ethernet"",""mgmt_ip"":""10.1.0.44"",""description"":""to-app-vm-04"",""speed_gbps"":25,""mtu"":9214,""vlan"":42}"
arista-eos,"{""timestamp"":""2026-07-19T06:14:02.771118+00:00"",""hostname"":""leaf-11.dc1.example.net"",""facility"":""BGP"",""severity"":""ERROR"",""level"":3,""event"":""BGP-3-NOTIFICATION"",""message"":""sent to neighbor 10.10.4.22 (AS 64512) 6/7 (Cease/connection collision resolution) 0 bytes"",""bgp"":{""neighbor"":""10.10.4.22"",""peer_as"":64512,""local_as"":64513,""vrf"":""default"",""state"":""Idle"",""previous_state"":""Established"",""notification_code"":6,""notification_subcode"":7,""uptime_seconds"":441882,""prefixes_received"":0},""eos_version"":""4.32.2F"",""process"":""Bgp-default"",""pid"":4471}"
asana,"{""gid"":""1208419273904651"",""resource_type"":""story"",""created_at"":""2026-08-04T15:38:31.402Z"",""type"":""marked_complete"",""action"":""changed"",""user"":{""gid"":""1204182739046512"",""resource_type"":""user"",""name"":""Priya Raghavan""},""resource"":{""gid"":""1208827104651283"",""resource_type"":""task"",""name"":""Update capacity model for Q3""},""parent"":{""gid"":""1201284192046512"",""resource_type"":""project"",""name"":""Platform Roadmap""},""change"":{""field"":""completed"",""action"":""changed"",""new_value"":{""gid"":""1208827104651283"",""resource_type"":""task"",""completed"":true}}}"
asana,"{""gid"":""1209884471029337"",""created_at"":""2026-07-26T09:14:02.771Z"",""event_type"":""api_request_rejected"",""event_category"":""access_control"",""actor"":{""actor_type"":""api_app"",""gid"":""1209441882210"",""name"":""CRM Sync Integration"",""email"":null},""resource"":{""gid"":""1209118447102"",""resource_type"":""project"",""name"":""Q3 Roadmap - Confidential"",""resource_subtype"":""default_project""},""context"":{""context_type"":""api"",""api_authentication_method"":""personal_access_token"",""client_ip_address"":""52.190.44.7"",""user_agent"":""asana-python/5.0.9"",""oauth_app_name"":null},""details"":{""http_status"":429,""error_message"":""Server timeout. This request took too long to process."",""rate_limit"":{""limit_per_minute"":1500,""retry_after_seconds"":30},""endpoint"":""GET /projects/1209118447102/tasks"",""requests_in_window"":1512}}"
auth0,"{""date"":""2026-08-04T15:06:31.402Z"",""type"":""s"",""description"":""Successful login"",""log_id"":""90020260804150631402000418273904651283741"",""_id"":""90020260804150631402000418273904651283741"",""client_id"":""Xk7pL9mzV2Qr8Zx1Qw4Er7Ty0UioPa"",""client_name"":""Acme Web App"",""ip"":""203.0.113.47"",""user_agent"":""Chrome 128.0.0 / Mac OS X 10.15.7"",""user_id"":""auth0|68910f4a2b845d0671ab34cd"",""user_name"":""marcus.feld@acme.io"",""connection"":""Username-Password-Authentication"",""connection_id"":""con_9c1e7f3a2b845d06"",""strategy"":""auth0"",""strategy_type"":""database"",""audience"":""https://api.acme.io/"",""scope"":[""openid"",""profile"",""email"",""offline_access""],""hostname"":""acme.us.auth0.com"",""tenant_name"":""acme"",""location_info"":{""country_code"":""US"",""country_name"":""United States"",""city_name"":""Boston"",""latitude"":42.3583,""longitude"":-71.0603,""time_zone"":""America/New_York""},""details"":{""prompts"":[],""completedAt"":1786034791402,""session_id"":""gH0jIkL2mN4oP6qRsTuVwXyZ""},""isMobile"":false}"
auth0,"{""log_id"":""90020260725041902771000000000000001223372046221118442"",""date"":""2026-07-25T04:19:02.771Z"",""type"":""fu"",""description"":""Wrong email or password."",""connection"":""Username-Password-Authentication"",""connection_id"":""con_7b1c9d43e02a4f18"",""client_id"":""c41b7e285d904a138f669e2c0473ab55"",""client_name"":""Shop Web"",""ip"":""91.219.238.11"",""user_agent"":""Chrome 138.0.0 / Windows 10"",""user_id"":"""",""user_name"":""priya.raghavan@example.net"",""strategy"":""auth0"",""strategy_type"":""database"",""audience"":""https://api.example.net"",""scope"":null,""tenant_name"":""example-prod"",""isMobile"":false,""details"":{""error"":{""message"":""Wrong email or password.""},""body"":{""username"":""priya.raghavan@example.net""},""qs"":{""client_id"":""c41b7e285d904a138f669e2c0473ab55""}},""$event_schema"":{""version"":""1.0.0""}}"
aws-alb,"{""type"":""https"",""time"":""2026-08-04T14:23:11.482913Z"",""elb"":""app/prod-public-alb/9c1e7f3a2b845d06"",""client_port"":""203.0.113.47:54211"",""target_port"":""10.32.14.87:8080"",""request_processing_time"":0.000041,""target_processing_time"":0.037,""response_processing_time"":0.000019,""elb_status_code"":200,""target_status_code"":""200"",""received_bytes"":621,""sent_bytes"":14839,""request"":""GET https://api.acme.io:443/v2/accounts/8812/invoices?limit=25 HTTP/2.0"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"",""ssl_cipher"":""TLS_AES_128_GCM_SHA256"",""ssl_protocol"":""TLSv1.3"",""target_group_arn"":""arn:aws:elasticloadbalancing:us-east-1:481923746512:targetgroup/prod-api-tg/4d81ac920b7e3f65"",""trace_id"":""Root=1-68910f27-2c4b1a9e7d3f508612ab34cd"",""domain_name"":""api.acme.io"",""matched_rule_priority"":""12"",""request_creation_time"":""2026-08-04T14:23:11.445000Z"",""actions_executed"":""forward"",""redirect_url"":""-"",""error_reason"":""-""}"
aws-alb,"{""type"":""https"",""time"":""2026-07-02T11:44:19.882134Z"",""elb"":""app/prod-public-alb/1a2b3c4d5e6f7081"",""client_port"":""203.0.113.77:41822"",""target_port"":""-"",""request_processing_time"":0.001,""target_processing_time"":-1,""response_processing_time"":-1,""elb_status_code"":502,""target_status_code"":""-"",""received_bytes"":412,""sent_bytes"":277,""request"":""POST https://api.internal.example.net:443/v2/orders HTTP/1.1"",""user_agent"":""okhttp/4.12.0"",""ssl_cipher"":""ECDHE-RSA-AES128-GCM-SHA256"",""ssl_protocol"":""TLSv1.2"",""target_group_arn"":""arn:aws:elasticloadbalancing:us-east-1:481923755012:targetgroup/orders-api/9f81c3ad2b74e560"",""trace_id"":""Root=1-6884f9a3-1c7d2b4e9f0a51c3d8e7b621"",""error_reason"":""TargetConnectionError"",""matched_rule_priority"":""12"",""actions_executed"":""forward"",""target_status_code_list"":""-"",""classification"":""Ambiguous"",""classification_reason"":""UndefinedContentLengthSemantics""}"
aws-cloudfront,"{""date"":""2026-08-04"",""time"":""14:23:44"",""x-edge-location"":""IAD89-C1"",""sc-bytes"":25113,""c-ip"":""198.51.100.72"",""cs-method"":""GET"",""cs-host"":""d3k1xq7pl9mzv2.cloudfront.net"",""cs-uri-stem"":""/static/js/app.9f3ac12b.js"",""sc-status"":200,""cs-referer"":""https://app.acme.io/dashboard"",""cs-user-agent"":""Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20Chrome/128.0.0.0"",""cs-uri-query"":""v=2026080401"",""cs-cookie"":""-"",""x-edge-result-type"":""Hit"",""x-edge-request-id"":""K9xQ2Lm4pR7tYv1bN8cZ-fA3dE6gH0jI=="",""x-host-header"":""cdn.acme.io"",""cs-protocol"":""https"",""cs-bytes"":812,""time-taken"":0.002,""x-forwarded-for"":""-"",""ssl-protocol"":""TLSv1.3"",""ssl-cipher"":""TLS_AES_128_GCM_SHA256"",""x-edge-response-result-type"":""Hit"",""cs-protocol-version"":""HTTP/2.0"",""fle-status"":""-"",""fle-encrypted-fields"":""-"",""c-port"":61204,""time-to-first-byte"":0.001,""x-edge-detailed-result-type"":""Hit"",""sc-content-type"":""application/javascript"",""sc-content-len"":24688,""sc-range-start"":null,""sc-range-end"":null}"
aws-cloudfront,"{""timestamp"":1782914533,""c-ip"":""198.51.100.204"",""sc-status"":403,""sc-bytes"":915,""cs-method"":""GET"",""cs-uri-stem"":""/private/reports/q2-summary.pdf"",""cs-protocol"":""https"",""cs-host"":""d3k9xq1rlp7mze.cloudfront.net"",""x-edge-location"":""IAD89-C2"",""x-edge-result-type"":""Error"",""x-edge-response-result-type"":""Error"",""x-edge-detailed-result-type"":""OriginError"",""x-host-header"":""cdn.example.net"",""cs-user-agent"":""curl/8.7.1"",""cs-referer"":""-"",""time-taken"":0.113,""x-forwarded-for"":""-"",""ssl-protocol"":""TLSv1.3"",""ssl-cipher"":""TLS_AES_128_GCM_SHA256"",""x-edge-request-id"":""kX7bQ2mR9zL0dPfA1sJc4hVnT6wYyE8uBiOgN3-Xq5lM2rZaKw=="",""cs-protocol-version"":""HTTP/2.0"",""fle-status"":""-"",""c-country"":""US"",""cache-behavior-path-pattern"":""/private/*""}"
aws-cloudtrail,"{""eventVersion"":""1.09"",""userIdentity"":{""type"":""AssumedRole"",""principalId"":""AROAJ2XK4LQZ7VQ3NDPEM:deploy-session"",""arn"":""arn:aws:sts::481923746512:assumed-role/DeployRole/deploy-session"",""accountId"":""481923746512"",""accessKeyId"":""ASIA4KJH2LMNOPQR7TUV"",""sessionContext"":{""sessionIssuer"":{""type"":""Role"",""principalId"":""AROAJ2XK4LQZ7VQ3NDPEM"",""arn"":""arn:aws:iam::481923746512:role/DeployRole"",""accountId"":""481923746512"",""userName"":""DeployRole""},""attributes"":{""creationDate"":""2026-08-04T14:21:03Z"",""mfaAuthenticated"":""false""}}},""eventTime"":""2026-08-04T14:22:47Z"",""eventSource"":""s3.amazonaws.com"",""eventName"":""PutBucketPolicy"",""awsRegion"":""us-east-1"",""sourceIPAddress"":""52.94.133.129"",""userAgent"":""aws-cli/2.15.40 Python/3.11.8 Linux/6.1.0 exec-env/AWS_ECS_FARGATE"",""requestParameters"":{""bucketName"":""acme-prod-artifacts"",""Host"":""s3.us-east-1.amazonaws.com"",""policy"":""""},""responseElements"":null,""requestID"":""9F3A2C71B0D4E85A"",""eventID"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""readOnly"":false,""eventType"":""AwsApiCall"",""managementEvent"":true,""recipientAccountId"":""481923746512"",""eventCategory"":""Management""}"
