"type","log"
"apache_httpd","<187>1 2026-03-14T21:20:11.664Z web-07 httpd 3312 - - [Sat Mar 14 21:20:11.664201 2026] [core:error] [pid 3312:tid 140233] [client 198.51.100.201:52118] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error, referer: https://portal.example.com/login"
"haproxy","<190>Aug  4 09:46:29 lb-edge-01 haproxy[1877]: 10.2.88.14:52104 [04/Aug/2026:09:46:29.331] https-in~ be_api/app-node-11 0/0/1/18/19 200 5122 - - ---- 412/410/6/2/0 0/0 ""GET /v1/healthz HTTP/2.0"""
"haproxy","<187>1 2026-03-14T21:33:57.008Z lb-01.dc1.example.net haproxy 1122 - [lb backend=""be_api"" servers_up=""0""] backend be_api has no server available!"
"squid","<150>Aug  4 09:47:05 proxy-01 squid[2044]: 1786014425.118    212 10.30.7.55 TCP_MISS/200 18422 GET http://updates.example.net/pkg/index.json rlambert HIER_DIRECT/93.184.216.34 application/json"
"squid","<188>1 2026-03-14T22:04:19.771Z proxy-02.corp.example.com squid 2044 - - 1773526259.771 312 10.30.8.55 TCP_DENIED/403 3821 CONNECT torrent-tracker.example.ru:443 mturner HIER_NONE/- text/html"
"varnish","<150>Aug  4 09:48:33 cache-edge-02 varnishd[3311]: Child (3315) said Child starts, cache hit ratio 0.94 over 5m, storage s0 malloc 2048M"
"varnish","<187>1 2026-03-14T22:18:03.556Z cache-03 varnishd 1670 - - Backend fetch failed: FetchError no backend connection (backend=web_pool.web-05, reason=""all backend connections busy"") for req ""GET /media/hero.jpg"""
"traefik","<134>Aug  4 09:49:47 ingress-01 traefik[1622]: 10.44.2.19 - - [04/Aug/2026:09:49:47 +0000] ""GET /checkout/session HTTP/2.0"" 200 1284 ""-"" ""-"" 88214 ""web-router@kubernetes"" ""http://10.244.3.17:8080"" 31ms"
"traefik","<187>1 2026-03-14T22:41:52.331Z ingress-01 traefik 2210 - [trfk router=""api@kubernetes""] level=error msg=""Cannot create service: unable to find the IP address for the container ""/api-7d9f8-x2lk"": the server is ignored"" providerName=kubernetes routerName=api@kubernetes"
"envoy","<134>Aug  4 09:50:22 mesh-sidecar-4 envoy[884]: [2026-08-04T09:50:22.481Z] ""GET /users/4821 HTTP/2"" 200 - 0 918 7 5 ""10.244.1.8"" ""grpc-go/1.62"" ""3f9c1b7a-2d84-4e11-b6a0-77c9de1a4f52"" ""users.svc.cluster.local"" ""10.244.5.22:8080"""
"envoy","<187>1 2026-03-14T23:02:14.887Z mesh-sidecar-14 envoy 17 - - [error][upstream] [source/common/upstream/cds_api_helper.cc:38] cds: unexpected DiscoveryResponse: gRPC config stream to xds-cluster closed since 41s ago: 14, connection error: desc = ""transport: Error while dialing dial tcp 10.44.0.9:15010: connect: connection refused"""
"tomcat","<150>Aug  4 09:51:14 tomcat-app-02 catalina[6612]: INFO [main] org.apache.catalina.startup.Catalina.start Server startup in [8412] milliseconds"
"tomcat","<187>1 2026-03-14T23:24:40.219Z app-tomcat-02 catalina 4088 - [jvm heap=""4096m""] SEVERE [http-nio-8080-exec-17] org.apache.catalina.core.StandardWrapperValve.invoke Servlet.service() for servlet [dispatcher] threw exception java.lang.OutOfMemoryError: Java heap space"
"jboss_wildfly","<150>Aug  4 09:52:48 wildfly-01 standalone[7788]: INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 30.0.1.Final (WildFly Core 22.0.2.Final) started in 14822ms - Started 1284 of 1502 services"
"jboss_wildfly","<187>1 2026-03-15T00:07:22.910Z app-wildfly-01 wildfly 5210 - - ERROR [org.jboss.as.controller.management-operation] (DeploymentScanner-threads - 2) WFLYCTL0013: Operation (""deploy"") failed - address: ([(""deployment"" => ""orders.war"")]) - failure description: ""WFLYSRV0153: Failed to process phase STRUCTURE of deployment \""orders.war\"""""
"citrix_netscaler","<134>Aug  4 09:53:09 ns-adc-01 ns[0]:  SSLVPN LOGIN : Context mgarrett@10.61.4.22 - SessionId: 88214 - User mgarrett - Client_ip 10.61.4.22 - Nat_ip ""Mapped Ip"" - Vserver 10.61.0.50:443 - Browser_type ""Mozilla/5.0"" - SSLVPN_client_type ICA - Group(s) ""N/A"""
"citrix_netscaler","<84>1 2026-03-15T00:41:11.503Z ns-vpx-01 NSVPX - SSLVPN-LOGIN_FAILED [citrix module=""AAA"" event=""LOGIN_FAILED""] ""SSLVPN LOGIN_FAILED User contractor1 - Client_ip 203.0.113.77 - Nat_ip ""Mapped Ip"" - Vserver 10.30.1.10:443 - Browser_type ""Mozilla/5.0"" - Error_message ""Invalid username or password"""""
"postfix","<22>Aug  4 09:54:31 mail-relay-02 postfix/smtp[18422]: 4B8sQr2Xz1z9Nk: to=<awilkes@partner.example.org>, relay=mx1.partner.example.org[203.0.113.25]:25, delay=1.8, delays=0.12/0/0.51/1.2, dsn=2.0.0, status=sent (250 2.0.0 Ok: queued as 9F2C41D8B)"
"postfix","<19>1 2026-03-15T01:15:37.226Z mail-relay-01 postfix/smtp 6612 - [smtp qid=""4B7fQz2Vz9""] 4B7fQz2Vz9: to=<accounts@partner.example.org>, relay=mx1.partner.example.org[192.0.2.88]:25, delay=1811, delays=0.04/0/1810/0, dsn=4.4.1, status=deferred (connect to mx1.partner.example.org[192.0.2.88]:25: Connection timed out)"
"sendmail","<22>Aug  4 09:55:18 legacy-mail-01 sendmail[9912]: 674DtIab009912: to=<ops@example.com>, ctladdr=<root@legacy-mail-01.example.com> (0/0), delay=00:00:02, xdelay=00:00:02, mailer=relay, pri=30412, relay=smtp.example.com. [10.5.0.25], dsn=2.0.0, stat=Sent (Ok: queued as 3C71A0E4)"
"sendmail","<19>1 2026-03-15T01:32:08.415Z legacy-mail-01 sendmail 8823 - - r2E1W8Wq008823: SYSERR(root): queueup: cannot create queue file ./qfr2E1W8Wq008823, euid=0, fd=-1, fp=0x0: No space left on device"
"exim","<22>Aug  4 09:56:02 exim-out-01 exim[4471]: 1uK8xQ-0002Bz-4T => rdelacroix@example.net R=dnslookup T=remote_smtp H=mx.example.net [198.51.100.40] X=TLS1.3:ECDHE_RSA_AES_256_GCM_SHA384:256 CV=yes C=""250 OK id=1uK8xQ-0004aB-9M"""
"exim","<19>1 2026-03-15T01:48:55.671Z smtp-edge-03 exim 9931 - - 2026-03-15 01:48:55 1sB4kZ-0007Lm-2C H=(mail.spamsource.example) [45.83.91.14] F=<bounce@spamsource.example> rejected RCPT <sales@example.com>: relay not permitted"
"dovecot","<22>Aug  4 09:57:40 imap-01 dovecot[2288]: imap-login: Login: user=<tokafor@example.com>, method=PLAIN, rip=10.72.3.19, lip=10.72.0.11, mpid=18822, TLS, session=<9Xz2Kq1bT4mYaZ8P>"
"dovecot","<86>1 2026-03-15T02:11:29.334Z imap-01.example.com dovecot 4471 - [auth service=""imap"" rip=""102.129.145.20""] imap-login: Disconnected (auth failed, 3 attempts in 12 secs): user=<rwilson@example.com>, method=PLAIN, rip=102.129.145.20, lip=10.30.2.21, TLS, session=<xM2kQd7dAaBmgZEU>"
"opendkim","<22>Aug  4 09:58:15 mail-relay-02 opendkim[1802]: 4B8sQr2Xz1z9Nk: DKIM-Signature field added (s=mail202608, d=example.com)"
"opendkim","<20>1 2026-03-15T02:29:44.052Z mail-relay-02 opendkim 3117 - - 8D21C4A2F1: bad signature data for d=suspicious-domain.example (s=default): key retrieval failed"
"spamassassin","<22>Aug  4 09:59:03 mail-filter-01 spamd[5521]: spamd: clean message (0.4/5.0) for debian-spamd:117 in 1.2 seconds, 18422 bytes."
"spamassassin","<20>1 2026-03-15T02:44:16.788Z mail-filter-01 spamd 2290 - [spam score=""18.4"" required=""5.0""] spamd: identified spam (18.4/5.0) for amavis:110 in 2.7 seconds, 41283 bytes; tests=BAYES_99,HTML_IMAGE_ONLY_28,URIBL_BLACK,RCVD_IN_XBL"
"amavisd","<22>Aug  4 10:00:27 mail-filter-01 amavis[6640]: (06640-04) Passed CLEAN {RelayedInbound}, [203.0.113.61]:44120 [203.0.113.61] <noreply@vendor.example.io> -> <ap@example.com>, Queue-ID: 8C1F42A9D, mail_id: kQ2xB9zLm4Tc, Hits: -1.902, size: 24188, queued_as: 5A9D31C0B, 842 ms"
"amavisd","<20>1 2026-03-15T02:52:03.910Z mail-filter-01 amavis 2044 - - (02044-06) Blocked INFECTED (Win.Trojan.AgentTesla-9912) {DiscardedInbound,Quarantined}, [185.234.219.30]:59122 [185.234.219.30] <hr@fake-vendor.example> -> <payroll@example.com>, quarantine: virus-Xr7Kd2"
"barracuda_esg","<22>Aug  4 10:01:44 barracuda-esg1 mail: 1786015304 1 10.8.0.31 RECV 203.0.113.99 1 1 ALLOWED 0 - 0 8214 noreply@news.example.io kbennett@example.com 5B2A81C4F ""Quarterly product update"" 18422"
"barracuda_esg","<84>1 2026-03-15T03:14:38.229Z esg-01.example.com barracuda - - info CEF:0|Barracuda|ESG|9.1|1|Message Blocked|5|src=193.27.14.221 suser=invoices@notreal-vendor.example duser=ap@example.com act=BLOCK reason=""Advanced Threat Protection - malicious attachment"" fname=REMITTANCE.xlsm"
"proofpoint_pps","<22>Aug  4 10:02:19 pps-mta-01 filter_instance0[8812]: rprt s=1uK9aZ m=1 x=1uK9aZ-1 mod=session cmd=msg module=access rule=accept msgid=<Cq82zX1@vendor.example.io> from=alerts@vendor.example.io rcpt=secops@example.com action=continue"
"proofpoint_pps","<84>1 2026-03-15T03:38:52.664Z pps-mx-02.example.com filter - - rprt s=1sB6VZ m=1 x=1sB6VZ-000LmQ mod=spam cmd=msg module=access qid=2E3cpQ08 rule=quarantine action=quarantine reason=""phish"" from=<security-alert@micros0ft-login.example> to=<jdoe@example.com> ip=91.207.174.66"
"mimecast","<22>Aug  4 10:03:52 mimecast-siem mimecast[0]: aCode=processDelivery|acc=C4A88214|Sender=billing@supplier.example.net|Rcpt=ap@example.com|Subject=Invoice 88214|Act=Acc|Virus=No|Spam=No|SpamScore=0|MessageId=<9F2C41D8B@supplier.example.net>|Size=44821"
"mimecast","<84>1 2026-03-15T04:02:17.481Z mimecast-siem mimecast - ttp_url [mc route=""inbound"" action=""blocked""] datetime=2026-03-15T04:02:17+0000 aCode=aBcD1234 action=blocked url=""http://secure-docs-review.example.top/login"" senderAddress=noreply@secure-docs-review.example.top recipientAddress=cfo@example.com credentialTheft=true"
"bind9","<54>Aug  4 10:04:30 dns-auth-01 named[1441]: client @0x7f2c48021b30 10.16.2.44#54122 (api.example.com): query: api.example.com IN A + (10.16.0.10)"
"bind9","<27>1 2026-03-15T04:25:06.372Z ns1.example.com named 1177 - - client @0x7f9c2c0a1b30 10.30.9.44#41221 (evil.example.): query (cache) 'evil.example/A/IN' denied: response-policy zone rewrite failed"
"unbound","<54>Aug  4 10:05:11 dns-res-02 unbound[2210]: [2210:0] info: 10.20.4.88 www.example.org. A IN NOERROR 0.014822 0 118"
"unbound","<27>1 2026-03-15T04:41:52.115Z resolver-02 unbound 1502 - [dnssec status=""bogus""] [1502:0] error: validation failure <bank-login.example. A IN>: signature expired from 192.0.2.53 for key bank-login.example. while building chain of trust"
"dnsmasq","<54>Aug  4 10:06:07 branch-gw-04 dnsmasq[1188]: reply printer-hp3.lan is 192.168.14.62"
"dnsmasq","<28>1 2026-03-15T05:03:44.929Z branch-gw-14 dnsmasq 810 - - Maximum number of concurrent DNS queries reached (max: 150) - dropping query for telemetry.vendor.example from 192.168.14.221"
"isc_dhcpd","<30>Aug  4 10:07:22 dhcp-01 dhcpd[1622]: DHCPACK on 10.44.18.117 to 3c:22:fb:8a:41:d9 (mbp-hchen) via eth1 relay 10.44.18.1 lease-duration 43200"
"isc_dhcpd","<28>1 2026-03-15T05:22:11.207Z dhcp-01.corp.example.com dhcpd 1344 - [dhcp pool=""10.40.20.0/22""] DHCPDISCOVER from 3c:22:fb:81:0d:4e via eth1: network 10.40.20.0/22: no free leases"
"chronyd","<30>Aug  4 10:08:05 app-node-11 chronyd[904]: Selected source 10.5.0.20 (ntp.example.com)"
"chronyd","<28>1 2026-03-15T05:47:39.884Z app-prod-12 chronyd 733 - - System clock wrong by 3.412887 seconds, adjustment started; source 10.30.0.11 unreachable for 1024 seconds"
"ntpd","<30>Aug  4 10:09:41 legacy-app-02 ntpd[1104]: synchronized to 172.16.0.30, stratum 2, offset 0.001842 sec"
"ntpd","<28>1 2026-03-15T06:01:04.556Z legacy-app-02 ntpd 611 - [ntp stratum=""16""] no servers reachable; synchronisation lost (peer 192.0.2.123 reachability register cleared)"
"keepalived","<134>Aug  4 10:10:18 lb-edge-01 Keepalived_vrrp[2004]: (VI_1) Entering MASTER STATE, advertising VIP 10.2.0.100 on eth0 priority 150"
"keepalived","<84>1 2026-03-15T06:22:48.031Z lb-02.dc1.example.net Keepalived_vrrp 1288 - [vrrp vrid=""51"" state=""MASTER""] VRRP_Instance(VI_1) Entering MASTER STATE - peer lb-01 advertisement timeout (priority 100 lost)"
"frr","<134>Aug  4 10:11:33 core-rtr-01 bgpd[3312]: %ADJCHANGE: neighbor 10.255.0.2(spine-02) in vrf default Up"
"frr","<27>1 2026-03-15T06:44:15.792Z core-rtr-01 bgpd 2101 - - %NOTIFICATION: sent to neighbor 198.51.100.2 4/0 (Hold Timer Expired) 0 bytes; peer 198.51.100.2 went from Established to Idle"
"snmpd","<30>Aug  4 10:12:09 switch-mgmt-01 snmpd[1780]: Connection from UDP: [10.90.0.55]:48122->[10.90.1.10]:161 community=public"
"snmpd","<84>1 2026-03-15T07:02:33.410Z switch-mgmt-03 snmpd 921 - [snmp version=""2c""] Received SNMP packet(s) from UDP: [172.16.9.201]:57221->[10.30.0.9]:161 with invalid community string ""public"" - authentication failure"
